rank,word,cefr_level_estimate,part_of_speech,vietnamese_meaning,example,example_vietnamese,ranking_basis,source_urls
188,stock,B2,noun,cổ phiếu,It is now halfway through winter and food stocks are already low.,Bây giờ đã là nửa mùa đông và lượng lương thực dự trữ đã cạn kiệt.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
189,infection,B2,noun,nhiễm trùng,We should wash our hands to avoid infection,Chúng ta nên rửa tay để tránh nhiễm trùng,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
190,availability,B2,noun,sự sẵn có,Check her availability before you schedule the meeting.,Kiểm tra tình trạng sẵn sàng của cô ấy trước khi bạn lên lịch cuộc họp.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
191,cause,B2,noun,nguyên nhân,Unemployment is a major cause of poverty.,Thất nghiệp là nguyên nhân chính của nghèo đói.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/ngsl-spoken|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
192,assembly,B2,noun,lắp ráp,the tail assembly of the aircraft,cụm đuôi máy bay,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
193,vegetation,B2,noun,thảm thực vật,The vegetation has been damaged by humans,Thảm thực vật bị con người tàn phá,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
194,requirement,B2,noun,yêu cầu,"For most office jobs nowadays, the most basic requirement is a university degree.","Đối với hầu hết các công việc văn phòng hiện nay, yêu cầu cơ bản nhất là bằng đại học.",B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
195,resource,B2,noun,tài nguyên,The country's greatest resource is the dedication of its workers.,Nguồn lực lớn nhất của đất nước là sự cống hiến của người lao động.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
196,psychological,B2,adjective,tâm lý,there are many people who have to face with psychological  problems,có rất nhiều người phải đối mặt với vấn đề tâm lý,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
197,strategy,B2,noun,chiến lược,Good strategy plays an important role in playing chess,Chiến lược tốt đóng vai trò quan trọng trong việc chơi cờ,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
198,prevention,B2,noun,phòng ngừa,Covid 19 prevention must be viewed as a priority.,Công tác phòng chống dịch Covid 19 phải được coi là ưu tiên hàng đầu.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
199,reference,B2,noun,tài liệu tham khảo,We'll need a reference from your current employer.,Chúng tôi sẽ cần một tài liệu tham khảo từ chủ nhân hiện tại của bạn.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
200,expansion,B2,noun,sự mở rộng,Expansion was made possible by the investment of government money.,Việc mở rộng được thực hiện nhờ sự đầu tư của tiền chính phủ.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
201,infrastructure,B2,noun,cơ sở hạ tầng,This school has modern infrastructure,Ngôi trường này có cơ sở vật chất hiện đại,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
202,challenge,B2,noun,thử thách,"To become successful, you need to learn how to get over many types of challenges.","Để thành công, bạn cần học cách vượt qua nhiều loại thử thách.",B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
203,behaviour,B2,noun,hành vi,Such a bad behaviour,Hành vi xấu như vậy,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
204,motion,B2,noun,chuyển động,The motion of the ship was making me feel seasick.,Sự chuyển động của con tàu khiến tôi cảm thấy say sóng.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
205,variation,B2,noun,biến thể,The medical tests showed some variation in the baby's heart rate.,Các xét nghiệm y tế cho thấy nhịp tim của em bé có một số thay đổi.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
206,trial,B2,noun,thử nghiệm,The new Covid-19 vaccine is preparing for trials.,Vắc-xin Covid-19 mới đang chuẩn bị thử nghiệm.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
207,sustainable,B2,adjective,bền vững,Renewable energy is very sustainable.,Năng lượng tái tạo rất bền vững.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
208,heritage,B2,noun,di sản,The building is part of our national heritage.,Tòa nhà là một phần di sản quốc gia của chúng tôi.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
209,soil,B2,noun,đất,Soil in Vietnam is suitable for growing many types of plants,Đất ở Việt Nam thích hợp trồng nhiều loại cây trồng,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
210,transition,B2,noun,sự chuyển tiếp,This is the transition effect on Powerpoint,Đây là hiệu ứng chuyển tiếp trên Powerpoint,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
211,decrease,B2,noun,giảm,The number of new students decreased from 210 to 160 this year.,Số lượng sinh viên mới giảm từ 210 xuống còn 160 trong năm nay.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
212,innovation,B2,noun,sự đổi mới,online class is a great innovation in education,lớp học trực tuyến là một sự đổi mới lớn trong giáo dục,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
213,rainfall,B2,noun,lượng mưa,This is the average annual rainfall in Vietnam,Đây là lượng mưa trung bình hàng năm ở Việt Nam,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
214,specifically,B2,adverb,cụ thể,These dresses are designed specifically for young women,Những chiếc váy này được thiết kế dành riêng cho phụ nữ trẻ,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
215,respiratory,B2,adjective,hô hấp,The speaker described the situation as respiratory.,Người nói mô tả tình huống này là hô hấp.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
216,minister,B2,noun,bộ trưởng,The lecturer explained why minister was important to the topic.,Giảng viên giải thích tại sao bộ trưởng lại quan trọng đối với chủ đề này.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
217,actual,B2,adjective,thực tế,We have sold 50000 tickets but the actual number is higher,Chúng tôi đã bán được 50000 vé nhưng con số thực tế còn cao hơn,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
218,gross,B2,adjective,thô,The speaker described the situation as gross.,Người nói mô tả tình huống này là thô.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
219,immune,B2,adjective,miễn dịch,The speaker described the situation as immune.,Người nói mô tả tình huống này là miễn dịch.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
220,consequence,B2,noun,hậu quả,The reduction in the number of trees is one of the consequences of the humans' acivities,Sự suy giảm số lượng cây xanh là một trong những hậu quả từ hoạt động của con người,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
221,phase,B2,noun,giai đoạn,"Now that we've thought of a good idea, the next phase is to find more information.","Bây giờ chúng ta đã nghĩ ra một ý tưởng hay, giai đoạn tiếp theo là tìm thêm thông tin.",B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
222,reliability,B2,noun,độ tin cậy,The reliability of the internet connection is crucial for our online business.,Độ tin cậy của kết nối internet là rất quan trọng đối với hoạt động kinh doanh trực tuyến của chúng tôi.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
223,significantly,B2,adverb,đáng kể,Profits have increased significantly over the past few years.,Lợi nhuận đã tăng lên đáng kể trong vài năm qua.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
224,trust,B2,noun,sự tin tưởng,Building trust is important in maintaining healthy relationships.,Xây dựng niềm tin là điều quan trọng trong việc duy trì các mối quan hệ lành mạnh.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
225,planning,B2,noun,kế hoạch,Good planning ensures a stress-free trip.,Lập kế hoạch tốt đảm bảo một chuyến đi không căng thẳng.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
226,discharge,B2,verb,xả,He was discharged from the army following his injury.,Anh ấy đã được giải ngũ sau chấn thương.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
227,mass,B2,noun,khối lượng,He sorted through the mass of images scattered across the table.,Anh sắp xếp lại đống hình ảnh nằm rải rác trên bàn.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
228,executive,B2,noun,điều hành,One TV network executive has already called for more deregulation.,Một giám đốc điều hành mạng truyền hình đã kêu gọi bãi bỏ nhiều quy định hơn.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
229,index,B2,noun,chỉ số,The scientific database contained an index of relevant research articles.,Cơ sở dữ liệu khoa học chứa một mục lục các bài báo nghiên cứu có liên quan.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
230,vitamin,B2,noun,vitamin,The lecturer explained why vitamin was important to the topic.,Giảng viên giải thích tại sao vitamin lại quan trọng đối với chủ đề này.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
231,estate,B2,noun,bất động sản,The poet's childhood was spent on a country estate.,Tuổi thơ của nhà thơ trải qua ở một vùng quê.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
232,decline,B2,noun,suy giảm,The price of houses declines,Giá nhà giảm,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
233,portion,B2,noun,phần,2 portions of food,2 phần thức ăn,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
234,provision,B2,noun,cung cấp,I am planning to open a provision store.,Tôi đang có ý định mở một cửa hàng cung cấp thực phẩm.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
235,treaty,B2,noun,hiệp ước,The lecturer explained why treaty was important to the topic.,Giảng viên giải thích tại sao hiệp ước lại quan trọng đối với chủ đề này.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
236,fatigue,B2,noun,sự mệt mỏi,Perhaps it was fatigue from the long journey,Có lẽ là mệt mỏi sau chặng đường dài,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
237,formation,B2,noun,sự hình thành,The formation of clouds,Sự hình thành của mây,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
238,initial,B2,adjective,ban đầu,"After the initial success of their application, they released it to tablets, cellphones, and smartwatches too.","Sau thành công ban đầu của ứng dụng, họ đã phát hành nó cho máy tính bảng, điện thoại di động và đồng hồ thông minh.",B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
239,resolution,B2,noun,độ phân giải,Electric cars are the resolution for air pollution,Xe điện là giải pháp cho ô nhiễm không khí,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
240,chief,B2,noun,người đứng đầu,A new chief of the security forces has just been appointed.,Một người đứng đầu lực lượng an ninh mới vừa được bổ nhiệm.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
241,transfer,B2,noun,chuyển,This player will be transferred to the other team,Cầu thủ này sẽ được chuyển sang đội khác,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
242,congestion,B2,noun,tắc nghẽn,Traffic congestion is a big problem in big cities.,Ùn tắc giao thông là một vấn đề lớn ở các thành phố lớn.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
243,consent,B2,verb,sự đồng ý,You shouldn't touch her hair without her consent,Bạn không nên chạm vào tóc cô ấy khi chưa có sự đồng ý của cô ấy,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
244,constant,B2,adjective,hằng số,She has constant headache pain for several days,Cô ấy bị đau đầu liên tục trong nhiều ngày,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
245,domestic,B2,adjective,trong nước,People prefer domestic travel because of COVID 19,Người dân ưa chuộng du lịch nội địa vì COVID 19,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
246,fluid,B2,adjective,chất lỏng,If you have a fever you should drink plenty of fluids.,"Nếu bị sốt, bạn nên uống nhiều nước.",B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
247,nutrition,B2,noun,dinh dưỡng,Good nutrition is essential for a healthy lifestyle.,Dinh dưỡng tốt là điều cần thiết cho một lối sống lành mạnh.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
248,understanding,B2,noun,sự hiểu biết,The lecturer explained why understanding was important to the topic.,Giảng viên giải thích tại sao sự hiểu biết lại quan trọng đối với chủ đề này.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
249,priority,B2,noun,ưu tiên,Learning about A.I is always my priority,Tìm hiểu về A.I luôn là ưu tiên hàng đầu của tôi,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
250,regard,B2,noun,quan tâm,Environmentalists regard GM technology with suspicion.,Các nhà môi trường coi công nghệ GM với sự nghi ngờ.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
251,identification,B2,noun,nhận dạng,Each product has a number for identification.,Mỗi sản phẩm đều có mã số để nhận biết.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
